Type of aircraft,Flight Phase,Flight Type,YOM,Location,Country,Region,Crew on board,Crew fatalities,Pax on board,Pax fatalities,Other fatalities,Total fatalities,Captain / Total flying hours,Copilot / Total flying hours,Circumstances,Captain / Total hours on type,Copilot / Total hours on type,Probable cause,Date,Year,Month,Total_onboard,Total_fatalities,Fatality_Rate,Circumstances_Short,Onboard_fatalities,Fatality_Rate_Onboard
Hindustan Aeronautics HAL-748,Landing (descent or approach),Test,1978.0,Arakkonam-Rajali NAS  Tamil Nadu,India,Asia,4,4,4,4,0,8,,,"After takeoff from Arakkonam-Rajali NAS, en route to Tambaram AFB, the pilot contacted ATC and declared an emergency and reported major technical problems. He was cleared to return for an emergency landing. On final approach, the aircraft went out of control and crashed in a wooded area located 2,5 km short of runway. The aircraft was destroyed and all eight occupants were killed.",,,It is believed that the crew lost control of the aircraft following the separation of the dome located on the top of the fuselage that was recovered about 500 metres from the main wreckage.,1999-01-11 15:45:00,1999,1,8,8,1.0,"After takeoff from Arakkonam-Rajali NAS, en route to Tambaram AFB, the pilot contacted ATC and declared an emergency and reported major technical problems. He was cleared to return for an emergency landing. On final approach, the aircraft went out of control and crashed in a wooded area located 2,5 ...",8,1.0
Antonov AN-32,Landing (descent or approach),Military,1984.0,New Delhi-Indira Gandhi  National Capital Territory of Delhi,India,Asia,4,4,14,14,3,21,,,"While descending to New Delhi-Indira Gandhi Airport runway 10, the crew encountered poor visibility due to thick fog and requested ATC assistance. On short final, the crew failed to realize his altitude was insufficient when the aircraft struck successively a concrete water tank and power cables then crashed in the Pappankalan district, about 2,4 km short of runway. The aircraft and a building were destroyed. All 18 occupants were killed as well as three people on the ground.",,,The crew was completing the final approach below the minimum safe altitude in reduced visibility due to thick fog.,1999-03-07 08:22:00,1999,3,18,21,1.1666666666666667,"While descending to New Delhi-Indira Gandhi Airport runway 10, the crew encountered poor visibility due to thick fog and requested ATC assistance. On short final, the crew failed to realize his altitude was insufficient when the aircraft struck successively a concrete water tank and power cables the...",18,1.0
Boeing 737-200,Landing (descent or approach),Scheduled Revenue Flight,1980.0,Patna  Bihar,India,Asia,6,6,52,49,5,60,4361.0,4085.0,"Alliance Air Flight No. CD-7412 departed Netaji Subhash Chandra Bose International Airport, Kolkata at 0651 hrs. on 17th July, 2000 bound for Patna-Lucknow-Delhi. After normal departure from Runway 01R, the aircraft climbed to FL260 on track to Patna via route W52. The aircraft was under the control of Kolkata Radar from 0652 hrs. to 0659 hrs. It changed over to Kolkata Area Control Centre. The aircraft reported position SAREK at FL 260 at 0712 hrs. and changed over to Patna Control with information that there was no reported traffic for descent. The aircraft contacted Patna ATC at 0713 hrs. and gave it’s ETA at Patna as 0736 hrs. Patna ATC cleared the aircraft to PPT VOR ILS/DME ARC Approach for R/W 25. The ATC Officer communicated that Patna METAR originated at 0650 hrs. stated “Wind calm, Visibility 4000 metres, Weather Haze, Clouds Broken 25000 feet, temp 29ºC, Dew Point 27º, QNH 996 hPa, No Sig”. The aircraft was cleared to descend to 7500’ and report 25 DME from PPT VOR. The aircraft reported 25 DME at 0726 hrs. The aircraft then descended to 4000’ on QNH 996 hPa and was asked to report 13 DME for ILS/DME ARC Approach R/W 25. The aircraft reported commencing the ARC at 0728 hrs. The aircraft reported crossing lead radial 080 at 0731 hrs. and coming on to the Localizer. The aircraft was then asked to descend to 1700’ on QNH 997 hPa with instructions to call established on Localizer. The aircraft informed Patna ATC at 0732 hrs. that it would like to do a 360º turn due to being high on approach. Patna ATC sought confirmation from the aircraft whether it had the airfield in sight and on receiving an affirmative reply, asked the aircraft to report on finals for R/W 25 after carrying out a 360º turn. This was acknowledged by the aircraft at 0732 hrs. This was the last communication from the aircraft. Immediately thereafter, the aircraft was spotted by the Air Traffic Controller in normal descent aligned with the R/W 25. It, however, appeared to be high on approach. The aircraft then turned steeply to the left losing height all of a sudden and disappeared from sight behind a row of trees. The Air Traffic Controller observed a huge column of smoke rising from the Gardani Bagh area outside the airfield perimeter and initiated crash action. All six crew members and 49 passengers were killed as well as five people on the ground. Three passengers escaped with serious injuries.",1778.0,3605.0,"The cause of the accident was loss of control of the aircraft due Human Error (air crew).  The crew had not followed the correct approach procedure, which resulted in the aircraft being high on approach.  They had kept the engines at idle thrust and allowed the air speed to reduce to a lower than normally permissible value on approach.  They then maneuvered the aircraft with high pitch attitude and executed rapid roll reversals.  This resulted in actuation of the stick shaker stall warning indicating an approaching stall.  At this stage, the crew initiated a Go Around procedure instead of Approach to Stall Recovery procedure resulting in an actual stall of the aircraft, loss of control and subsequent impact with the ground.",2000-07-17 07:34:00,2000,7,58,60,1.0344827586206897,"Alliance Air Flight No. CD-7412 departed Netaji Subhash Chandra Bose International Airport, Kolkata at 0651 hrs. on 17th July, 2000 bound for Patna-Lucknow-Delhi. After normal departure from Runway 01R, the aircraft climbed to FL260 on track to Patna via route W52. The aircraft was under the control...",55,0.9482758620689655
Beechcraft 200 Super King Air,Landing (descent or approach),Ambulance,1983.0,Kulu-Bhuntar  Himachal Pradesh,India,Asia,2,2,3,3,0,5,8340.0,526.0,"The twin engine aircraft departed New Delhi-Indira Gandhi Airport on an ambulance flight to Kulu-Bhuntar, carrying three doctors and two pilots. While descending to Kulu-Bhuntar Airport in IMC conditions, the crew failed to realize his altitude was insufficient when the aircraft struck the slope of a mountain located 20 km from the destination airport. The aircraft was destroyed and all five occupants were killed.",776.0,,"The pilot descended below minimum sector altitude in Instrument Meteorological Condition in hilly area.
Contributing factors were:
1. ATC Chandigarh contributed to the accident by permitting IFR flight to descend below minimum sector altitude.
2. Inadequate Supervision, Lack of Safety culture and poor pre-flight planning. Factor: Pilot: Non-adherence to standard operating procedure.",2000-07-29 13:32:00,2000,7,5,5,1.0,"The twin engine aircraft departed New Delhi-Indira Gandhi Airport on an ambulance flight to Kulu-Bhuntar, carrying three doctors and two pilots. While descending to Kulu-Bhuntar Airport in IMC conditions, the crew failed to realize his altitude was insufficient when the aircraft struck the slope of ...",5,1.0
Beechcraft 90 King Air,Flight,Executive/Corporate/Business,1977.0,Mainpuri  Uttar Pradesh,India,Asia,2,2,6,6,0,8,1596.0,,"En route from New Delhi to Kanpur, the crew reported over Aligarh. Short of next reporting point Kadas, the aircraft was about 10 miles right of track for which the permission was obtained and the pilot requested for a direct routing to Kanpur. About 10 minutes later, at an altitude of 14,000 feet, while cruising in bad weather conditions, the twin engine aircraft entered an uncontrolled descent, partially disintegrated in the air and eventually crashed in an open field near Mainpuri. All eight occupants were killed.",,,"While in cruising altitude, the crew encountered severe updrafts while flying in thunderstorm activity. Following a possible abrupt and abnormal manoeuvre, the crew lost control of the airplane that entered a spiral dive, resulting in an in-flight break up due to aerodynamic overload, leading to a total loss of control followed with a heavy impact with the ground.",2001-09-30 13:31:00,2001,9,8,8,1.0,"En route from New Delhi to Kanpur, the crew reported over Aligarh. Short of next reporting point Kadas, the aircraft was about 10 miles right of track for which the permission was obtained and the pilot requested for a direct routing to Kanpur. About 10 minutes later, at an altitude of 14,000 feet, ...",8,1.0
Ilyushin II-38,Flight,Demonstration,1971.0,Dabolim  Goa,India,Asia,5,5,0,0,0,5,,,"Two Indian Navy Ilyushin II-38 were engaged in a demonstration flight at Dabolim Airport, celebrating the 25th anniversary of the 315th Squadron based at Dabolim. While approaching the airfield in formation at a height of about 100 metres, both aircraft registered IN302 and IN304 collided and crashed. All 12 occupants were killed (five on board IN302 and seven on board IN304) as well as four people on the ground.",,,Unknown,2002-10-01 09:45:00,2002,10,5,5,1.0,"Two Indian Navy Ilyushin II-38 were engaged in a demonstration flight at Dabolim Airport, celebrating the 25th anniversary of the 315th Squadron based at Dabolim. While approaching the airfield in formation at a height of about 100 metres, both aircraft registered IN302 and IN304 collided and crashe...",5,1.0
Ilyushin II-38,Flight,Demonstration,1970.0,Dabolim  Goa,India,Asia,7,7,0,0,4,11,,,"Two Indian Navy Ilyushin II-38 were engaged in a demonstration flight at Dabolim Airport, celebrating the 25th anniversary of the 315th Squadron based at Dabolim. While approaching the airfield in formation at a height of about 100 metres, both aircraft registered IN302 and IN304 collided and crashed. All 12 occupants were killed (five on board IN302 and seven on board IN304) as well as four people on the ground.",,,Unknown,2002-10-01 09:45:00,2002,10,7,11,1.5714285714285714,"Two Indian Navy Ilyushin II-38 were engaged in a demonstration flight at Dabolim Airport, celebrating the 25th anniversary of the 315th Squadron based at Dabolim. While approaching the airfield in formation at a height of about 100 metres, both aircraft registered IN302 and IN304 collided and crashe...",7,1.0
Partenavia P.68,Takeoff (climb),Executive/Corporate/Business,2004.0,Bangalore-Hindustan  Karnataka,India,Asia,1,1,3,3,0,4,3140.0,,"The aircraft departed Bangalore-Hindustan Airport runway 27 at 1514LT on a flight to Cochin with 3 passengers and one pilot on board. Six minutes after takeoff, the pilot reported technical problems and elected to return for an emergency landing. However, the aircraft entered an uncontrolled descent and crashed in the lakebed of the Gawdanapalya Lake located about 9 km southwest of the airport. The aircraft was destroyed and all four occupants were killed.",,,"Engine power loss during initial climb after the aircraft had been refueled with Jet fuel instead of Avgas 100LL. 
The following contributing factors were identified:
- The low experience of the pilot on type, 
- The non-compliance of correct refueling procedure and its supervision by IOC personnel and pilot or operator's representative.",2007-09-08 15:20:00,2007,9,4,4,1.0,"The aircraft departed Bangalore-Hindustan Airport runway 27 at 1514LT on a flight to Cochin with 3 passengers and one pilot on board. Six minutes after takeoff, the pilot reported technical problems and elected to return for an emergency landing. However, the aircraft entered an uncontrolled descent...",4,1.0
Antonov AN-32,Flight,Military,1990.0,Tato  Arunachal Pradesh,India,Asia,7,7,6,6,0,13,,,"Following a supply mission, the aircraft departed Kargong-Mechuka Airport (Mechuka Advanced Landing Ground) at 1400LT on a flight to Dibrugarh-Mohanbari Airport. Shortly after takeoff, while flying an altitude of 12,000 feet, the aircraft struck the slope of Mt Rinchi located near the village of Tato. The wreckage was found a day later about 25 km southeast of Mechuka. The aircraft was destroyed and all 13 occupants were killed.",,,Unknown,2009-06-08 14:05:00,2009,6,13,13,1.0,"Following a supply mission, the aircraft departed Kargong-Mechuka Airport (Mechuka Advanced Landing Ground) at 1400LT on a flight to Dibrugarh-Mohanbari Airport. Shortly after takeoff, while flying an altitude of 12,000 feet, the aircraft struck the slope of Mt Rinchi located near the village of Tat...",13,1.0
Boeing 737-800,Landing (descent or approach),Scheduled Revenue Flight,2007.0,Mangalore-Bajpe  Karnataka,India,Asia,6,6,160,152,0,158,10215.0,3620.0,"Air India Express flight IX-811/812 is a daily round trip between Mangalore and Dubai. The outbound flight IX-811 was uneventful and landed at Dubai at 23:44 hours Local Time. The airplane was serviced and refuelled. The same flight crew operated the return leg, flight IX-812. The airplane taxied out for departure at 01:06 LT (02:36 IST). The takeoff, climb and cruise were uneventful. There was no conversation between the two pilots for about 1 hour and 40 minutes because the captain was asleep. The First Officer was making all the radio calls. The aircraft reported position at IGAMA at 05:33 hours IST and the First Officer was told to expect an ILS DME Arc approach to Mangalore. At about 130 miles from Mangalore, the First Officer requested descent clearance. This was, however, denied by the ATC Controller, who was using standard procedural control, to ensure safe separation with other air traffic. At 05:46 IST, the flight reported its position when it was at 80 DME as instructed by Mangalore Area Control. The aircraft was cleared to 7000 ft and commenced descent at 77 DME from Mangalore at 05:47 IST. The visibility reported was 6 km. Mangalore airport has a table top runway. As the AIP India states ""Aerodrome located on hilltop. Valleys 200ft to 250ft immediately beyond paved surface of Runway."" Owing to the surrounding terrain, Air India Express had made a special qualification requirement that only the PIC shall carry out the take off and landing. The captain on the accident flight had made a total of 16 landings in the past at this airport and the First Officer had operated as a Co-pilot on 66 flights at this airport. While the aircraft had commenced descent, there was no recorded conversation regarding the mandatory preparation for descent and landing briefing as stipulated in the SOP. After the aircraft was at about 50 miles and descending out of FL295, the conversation between the two pilots indicated that an incomplete approach briefing had been carried out. At about 25 nm from DME and descending through FL184, the Mangalore Area Controller cleared the aircraft to continue descent to 2900 ft. At this stage, the First Officer requested, if they could proceed directly to Radial 338 and join the 10 DME Arc. Throughout the descent profile and DME Arc Approach for ILS 24, the aircraft was much higher than normally expected altitudes. The aircraft was handed over by the Mangalore Area Controller to ATC Tower at 05:52 IST. The Tower controller, thereafter, asked the aircraft to report having established on 10 DME Arc for ILS Runway 24. Considering that this flight was operating in WOCL (Window Of Circadian Low), by this time the First Officer had also shown signs of tiredness. This was indicated by the sounds of yawning heard on the CVR. On having reported 10 DME Arc, the ATC Tower had asked aircraft to report when established on ILS. It appears that the captain had realized that the aircraft altitude was higher than normal and had selected Landing Gear 'DOWN' at an altitude of approximately 8,500 ft with speed brakes still deployed in Flight Detent position, so as to increase the rate of descent. As indicated by the DFDR, the aircraft continued to be high and did not follow the standard procedure of intercepting the ILS Glide Path at the correct intercept altitude. This incorrect procedure led to the aircraft being at almost twice the altitude as compared to a Standard ILS Approach. During approach, the CVR indicated that the captain had selected Flaps 40 degrees and completed the Landing Check List. At 06:03 hours IST at about 2.5 DME, the Radio Altimeter had alerted an altitude of 2500 ft. This was immediately followed by the First Officer saying ""It is too high"" and ""Runway straight down"". In reply, the captain had exclaimed ""Oh my god"". At this moment, the captain had disconnected the Auto Pilot and simultaneously increased the rate of descent considerably to establish on the desired approach path. At this stage, the First Officer had queried ""Go around?"" To this query from the First Officer, the captain had called out ""Wrong loc .. ... localiser .. ... glide path"". The First Officer had given a second call to the captain for ""Go around"" followed by ""Unstabilized"". However, the First Officer did not appear to take any action, to initiate a Go Around. Having acquired the runway visually and to execute a landing, it appears that the captain had increased the rate of descent to almost 4000 ft per minute. Due to this, there were numerous warnings from EGPWS for 'SINK RATE' and 'PULL UP'. On their own, the pilots did not report having established on ILS Approach. Instead, the ATC Tower had queried the same. To this call, the captain had forcefully prompted the First Officer to give a call of ""Affirmative"". The Tower controller gave landing clearance thereafter and also indicated ""Winds calm"". The aircraft was high on approach and touched down on the runway, much farther than normal. The aircraft had crossed the threshold at about 200 ft altitude with indicated speed in excess of 160 kt, as compared to 50 ft with target speed of 144 kt for the landing weight. Despite the EGPWS warnings and calls from the First Officer to go around, the captain had persisted with the approach in unstabilized conditions. Short of touchdown, there was yet another (Third) call from the First Officer, ""Go around captain...We don't have runway left"". However, the captain had continued with the landing and the final touchdown was about 5200 ft from the threshold of runway 24, leaving approximately 2800 ft of remaining paved surface. The captain had selected Thrust Reversers soon after touchdown. Within 6 seconds of applying brakes, the captain had initiated a 'Go Around', in contravention of Boeing SOP. The aircraft overshot the runway including the strip of 60 metres. After overshooting the runway and strip, the aircraft continued into the Runway End Safety Area (RESA) of 90 metres. Soon after which the right wing impacted the localiser antenna structure located further at 85 metres from the end of RESA. Thereafter, the aircraft hit the boundary fence and fell into a gorge.",2844.0,3319.0,"The Court of Inquiry determines that the cause of this accident was Captain's failure to discontinue the unstabilized approach and his persistence in continuing with the landing, despite three calls from the First Officer to go around and a number of warnings from the EGPWS.
Contributing Factors were: 
1. In spite of availability of adequate rest period prior to the flight, the Captain was in prolonged sleep during flight, which could have led to sleep inertia. As a result of relatively short period of time between his awakening and the approach, it possibly led to impaired judgment. This aspect might have got accentuated while flying in the Window of Circadian Low (WOCL).
2. In the absence of Mangalore Area Control Radar (MSSR), due to unserviceability, the aircraft was given descent at a shorter distance on DME as compared to the normal. However, the flight crew did not plan the descent profile properly, resulting in remaining high on approach.
3. Probably in view of ambiguity in various instructions empowering the 'copilot' to initiate a 'go around ', the First Officer gave repeated calls to this effect, but did not take over the controls to actually discontinue the ill-fated approach.",2010-05-22 06:05:00,2010,5,166,158,0.9518072289156626,"Air India Express flight IX-811/812 is a daily round trip between Mangalore and Dubai. The outbound flight IX-811 was uneventful and landed at Dubai at 23:44 hours Local Time. The airplane was serviced and refuelled. The same flight crew operated the return leg, flight IX-812. The airplane taxied ou...",158,0.9518072289156626
